Time_epoch_ref,Power_AC_kW_ref,Power_PV_kW_ref,Power_ESS_kW_ref,Power_EV_kW_ref,Power_EWH_kW_ref,Power_Unctrl_kW_ref
1597622400.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597622460.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597622520.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597622580.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597622640.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597622700.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597622760.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597622820.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597622880.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597622940.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597623000.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597623060.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597623120.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597623180.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597623240.0,0.0,0.0,0.0,0.0,0.0,0.67071428571
1597623300.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597623360.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597623420.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597623480.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597623540.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597623600.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597623660.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597623720.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597623780.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597623840.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597623900.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597623960.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597624020.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597624080.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597624140.0,0.0,0.0,-0.63098095238,0.0,0.0,0.7236952381
1597624200.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597624260.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597624320.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597624380.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597624440.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597624500.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597624560.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597624620.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597624680.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597624740.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597624800.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597624860.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597624920.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597624980.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597625040.0,0.0,0.0,-0.63098095238,0.0,0.0,0.74341904762
1597625100.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597625160.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597625220.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597625280.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597625340.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597625400.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597625460.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597625520.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597625580.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597625640.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597625700.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597625760.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597625820.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597625880.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597625940.0,0.0,0.0,-0.63098095238,0.0,0.0,0.67354285714
1597626000.0,0.0,0.0,-0.63098095238,0.0,0.0,0.63681904762
1597626060.0,0.0,0.0,-0.63098095238,0.0,0.0,0.63681904762
1597626120.0,0.0,0.0,-0.63098095238,0.0,0.0,0.63681904762
1597626180.0,0.0,0.0,-0.63098095238,0.0,0.0,0.63681904762
1597626240.0,0.0,0.0,-0.63098095238,0.0,0.0,0.63681904762
